Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
668,Khiry Shelton,us USA,FW,Sporting KC,28,1993,15.6,19,1.22,15,0,0,1,3,0,2,0.13,1,0,0,0,1,0,Matches
669,Andre Shinyashiki,br BRA,"FW,MF",Colorado Rapids,26,1995,2.4,5,2.08,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
670,Andre Shinyashiki,br BRA,"MF,FW",Charlotte,26,1995,9.4,25,2.67,18,1,0,3,3,0,2,0.21,2,0,0,0,0,0,Matches
671,Bobby Shuttleworth,us USA,GK,Atlanta Utd,34,1987,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
672,Marcelo Silva,uy URU,DF,Real Salt Lake,32,1989,30.8,16,0.52,10,1,1,4,0,0,2,0.06,2,0,0,0,0,0,Matches
673,Pablo Sisniega,mx MEX,GK,Charlotte,26,1995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
674,Jack Skahan,us USA,"DF,MF",San Jose,23,1998,1.1,5,4.69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
675,Drew Skundrich,us USA,"MF,DF",D.C. United,26,1995,9.8,16,1.63,15,0,0,0,0,1,2,0.2,2,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
676,Gaga Slonina,us USA,GK,Chicago Fire,17,2004,32,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
677,Brad Smith,au AUS,DF,D.C. United,27,1994,12.8,24,1.88,18,3,1,1,1,0,2,0.16,1,1,0,0,0,0,Matches
678,Kimarni Smith,eng ENG,"DF,MF",D.C. United,23,1998,4,10,2.49,6,3,0,1,0,0,3,0.75,3,0,0,0,0,0,Matches
679,Kyle Smith,us USA,DF,Orlando City,30,1992,15.4,23,1.49,21,0,1,0,1,0,0,0,0,0,0,0,0,0,Matches
680,Jan Sobociński,pl POL,DF,Charlotte,22,1999,4.2,1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
681,Santiago Sosa,ar ARG,MF,Atlanta Utd,22,1999,15.7,46,2.94,45,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
682,Ryan Spaulding,us USA,DF,New England,23,1998,2.9,2,0.68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
